CATEGORYNEWxx	PAYEENEWxx	SEARCHTERMxx	lengthxx
DVP_DEUTSCHER_P	"DVP_DEUTSCHER_PRESSEVERTRIEB,_20355_HAMB"	"DVP_DEUTSCHER_PRESSEVERTRIEB,_20355_HAMB"	40
BANKFEES	EXPENSES_AND_CHARGES_OUR_COLLECTION_CHAR	EXPENSES_AND_CHARGES_OUR_COLLECTION_CHAR	40
FRAU_SIEW_HEONG	"FRAU_SIEW_HEONG_SEE,_5637_BEINWIL_(FREIA"	"FRAU_SIEW_HEONG_SEE,_5637_BEINWIL_(FREIA"	40
LEGAL	"GEMEINDE_HUENENBERG,_CHAMERSTRASSE_11,_6"	"GEMEINDE_HUENENBERG,_CHAMERSTRASSE_11,_6"	40
"GLOBAL_COLLECT,"	"GLOBAL_COLLECT,_9001_ST._GALLENIHT_2_YEA"	"GLOBAL_COLLECT,_9001_ST._GALLENIHT_2_YEA"	40
"H._OTTH_AG,_LAT"	"H._OTTH_AG,_LATTICHSTRASSE_8A,_6340_BAAR"	"H._OTTH_AG,_LATTICHSTRASSE_8A,_6340_BAAR"	40
HANDELSREGISTER	"HANDELSREGISTERAMT_DES_KANTONS,_ZUG,_POS"	"HANDELSREGISTERAMT_DES_KANTONS,_ZUG,_POS"	40
INTERABO_BETREU	"INTERABO_BETREUNGS_GMBH,_FUER_INTERNATIL"	"INTERABO_BETREUNGS_GMBH,_FUER_INTERNATIL"	40
CATERING	IRENE_KALT	"IRENE_KALT,_SEEWEG_8,_6330_CHAMHALLOWEEN"	40
PHILLIPP_BUHOFE	"PHILLIPP_BUHOFER,_SCHOENAU,_6332_HAGENDO"	"PHILLIPP_BUHOFER,_SCHOENAU,_6332_HAGENDO"	40
ROENTGENINSTITU	"ROENTGENINSTITUT_CHAM_AG_1,_6330_CHAMMRI"	"ROENTGENINSTITUT_CHAM_AG_1,_6330_CHAMMRI"	40
"SCHIBIG_ERWIN,_"	"SCHIBIG_ERWIN,_EINHORNWEG_9B,_6331_HüNEN"	"SCHIBIG_ERWIN,_EINHORNWEG_9B,_6331_HüNEN"	40
TOWERWALLS	"SCHWERI_AND_VON_EUW_GMBH,_UNTERLAGS-BODE"	"SCHWERI_AND_VON_EUW_GMBH,_UNTERLAGS-BODE"	40
WINE	"SCHWERI_AND_VON_EUW_GMBH,_WIENE,_6330_CH"	"SCHWERI_AND_VON_EUW_GMBH,_WIENE,_6330_CH"	40
INVESTS	SECURITIES_SALE_550_VESTAS_WIND_SYSTEMS_	SECURITIES_SALE_550_VESTAS_WIND_SYSTEMS_	40
SPITEX	"SPITEX_HUENENBERG,_EICHENGASSE_9,_6301_Z"	"SPITEX_HUENENBERG,_EICHENGASSE_9,_6301_Z"	40
STEINMANN_HAUST	"STEINMANN_HAUSTECHNIK_AG,_6340_BAARPLUMB"	"STEINMANN_HAUSTECHNIK_AG,_6340_BAARPLUMB"	40
BOUTIQUE	SCANSHOP	"SUNANDA,_GLOOR-BIRCHLER_URSULA,_6330_CHA"	40
BOUTIQUE	MASSIMO_DUTTI_ZURI	MASSIMO_DUTTI_ZURIC_MASSIMO_DUTTI_ZURIC	39
POWDER_WHITE_LT	"POWDER_WHITE_LD,_ENGLANDVERBIER_HOUSE"	"POWDER_WHITE_LD,_ENGLANDVERBIER_HOUSE"	37
VERBIER_	ALTITUDE_ECOLE_DE_SKI_VERBIER_CHE	ALTITUDE_ECOLE_DE_SKI_VERBIER_CHE	33
BANKFEES	BALANCE_SETTLEMENT_OF_EXPENSES__	BALANCE_SETTLEMENT_OF_EXPENSES	30
ZUG_INTERNATION	ZUG_INTERNATIONAL_WOMENS_CLUB	ZUG_INTERNATIONAL_WOMENS_CLUB	29
MUMKIDS	INTERNATIONAL_MUMS_AND_KIDS_	INTERNATIONAL_MUMS_AND_KIDS_	28
TOWERWALLS	UNTERLAGSBOEDEN_BODENBELAEGE	UNTERLAGSBOEDEN_BODENBELAEGE	28
BANKFEES	BALANCE_OF_CLOSING_ENTRIES_	BALANCE_OF_CLOSING_ENTRIES_	27
HURLIMANN_JANET	HURLIMANN_JANET_AND_PATRICK	HURLIMANN_JANET_AND_PATRICK	27
SPITEX	"SPITEX_KANTON_ZUG,_6304_ZUG"	"SPITEX_KANTON_ZUG,_6304_ZUG"	27
LEGAL	FRAU_LIC.IUR_ANDREA_HODEL	FRAU_LIC.IUR_ANDREA_HODEL	25
HOUSECAP	INNENDEKORATION_AM_FISCH_	INNENDEKORATION_AM_FISCH_	25
MUMKIDS	INTERNATIONAL_MUMS_AND_KIDS_	INTERNATION_MUMS_AND_KIDS	25
"PETER_WEISS,_EL"	"PETER_WEISS,_ELEKTROTECHN_UNTERNEHMEN,_6"	"PETER_WEISS,_ELEKTROTECHN"	25
WINE	SCHWERI_AND_VON_EUW_GMBH_	SCHWERI_AND_VON_EUW_GMBH_	25
