"ADI","Analog Devices, I","5/7/2014","4:00pm",50.80,50.72,50.93,50.08,1788165,"43.86 - 54.40",1.39,2.74,23.08
"ALOG","Analogic Corporat","5/7/2014","4:00pm",71.65,71.66,72.025,70.74,131279,"68.86 - 99.97",0.40,0.56,27.72
"ANDE","The Andersons, In","5/7/2014","4:00pm",61.81,62.00,62.69,61.33,324464,"33.8867 - 65.28",0.4333,0.70,19.48
"ANGI","Angie's List, Inc","5/7/2014","4:00pm",10.23,10.75,10.82,9.845,1842861,"9.85 - 28.32",0.00,N/A,N/A
"AU","AngloGold Ashanti","5/7/2014","4:01pm",18.00,18.11,18.20,17.75,1813492,"11.14 - 19.53",0.053,0.29,N/A
"BUD","Anheuser-Busch In","5/7/2014","4:01pm",108.32,106.27,108.46,106.27,1413387,"83.94 - 111.38",2.816,2.65,12.21
"AXE","Anixter Internati","5/7/2014","4:01pm",96.05,96.04,96.16,94.71,151564,"72.06 - 115.84",5.00,5.20,15.50
"ANN","ANN INC. Common S","5/7/2014","4:03pm",38.37,38.63,38.74,37.89,642275,"29.64 - 43.61",0.00,N/A,17.60
"NLY","Annaly Capital Ma","5/7/2014","4:00pm",11.84,11.64,11.865,11.64,12355593,"9.66 - 15.30",1.35,11.61,3.11
"BNNY","Annie's, Inc. Com","5/7/2014","4:03pm",31.09,31.77,31.95,30.61,358328,"30.61 - 52.38",0.00,N/A,37.98
"ANSS","ANSYS, Inc.","5/7/2014","4:00pm",75.49,75.06,75.57,74.14,508310,"70.66 - 89.71",0.00,N/A,28.28
"ATRS","Antares Pharma, I","5/7/2014","4:00pm",2.79,2.91,2.91,2.77,1623461,"2.43 - 5.15",0.00,N/A,N/A
"AR","Antero Resources ","5/7/2014","4:01pm",66.58,66.43,67.35,65.33,904027,"51.56 - 68.43",0.00,N/A,N/A
"ANTH","Anthera Pharmaceu","5/7/2014","4:00pm",2.71,2.67,2.72,2.54,80670,"2.54 - 5.04",0.00,N/A,N/A
"ANH","Anworth Mortgage ","5/7/2014","4:00pm",5.40,5.41,5.44,5.39,3142984,"4.02 - 6.19",0.49,9.04,12.78
"AOL","AOL Inc. AOL Inc.","5/7/2014","4:01pm",34.85,39.95,40.01,32.31,13846555,"32.19 - 53.28",0.00,N/A,38.85
"AON","Aon plc Class A O","5/7/2014","4:02pm",86.36,84.94,86.82,84.94,2021703,"62.19 - 87.45",0.775,0.91,22.47
"APA","Apache Corporatio","5/7/2014","4:02pm",87.76,87.05,88.13,86.57,3872491,"75.07 - 94.84",0.85,0.98,15.72
"AIV","Apartment Investm","5/7/2014","4:06pm",31.79,31.46,31.90,31.43,880866,"24.78 - 33.44",0.98,3.12,17.37
"APAGF","Apco Oil and Gas ","5/7/2014","4:00pm",15.30,15.39,15.50,15.00,25971,"9.89 - 17.64",0.00,N/A,23.87
