CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Index Volume includes only the volume of cash-settled index option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT:INDEX,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
11/1/2006,297253,370373,667626,1.25
11/2/2006,211699,236992,448691,1.12
11/3/2006,210905,266663,477568,1.26
11/6/2006,201086,254035,455121,1.26
11/7/2006,297353,310046,607399,1.04
11/8/2006,269846,268482,538328,0.99
11/9/2006,183458,260404,443862,1.42
11/10/2006,170334,200796,371130,1.18
11/13/2006,273555,372879,646434,1.36
11/14/2006,404436,566055,970491,1.4
11/15/2006,552168,713019,1265187,1.29
11/16/2006,528934,524870,1053804,0.99
11/17/2006,466854,672584,1139438,1.44
11/20/2006,388962,531648,920610,1.37
11/21/2006,177911,623525,801436,3.5
11/22/2006,161972,337298,499270,2.08
11/24/2006,81571,171007,252578,2.1
11/27/2006,327498,723309,1050807,2.21
11/28/2006,209382,320962,530344,1.53
11/29/2006,367236,398167,765403,1.08
11/30/2006,253734,247397,501131,0.98
12/1/2006,240723,360693,601416,1.5
12/4/2006,234931,364635,599566,1.55
12/5/2006,268647,315598,584245,1.17
12/6/2006,236810,313165,549975,1.32
12/7/2006,255460,377987,633447,1.48
12/8/2006,234237,277192,511429,1.18
12/11/2006,291976,304634,596610,1.04
12/12/2006,318699,515832,834531,1.62
12/13/2006,361663,519928,881591,1.44
12/14/2006,761906,577322,1339228,0.76
12/15/2006,605365,565982,1171347,0.93
12/18/2006,238773,757713,996486,3.17
12/19/2006,303961,448207,752168,1.47
12/20/2006,139341,356747,496088,2.56
12/21/2006,180476,343854,524330,1.91
12/22/2006,154139,321587,475726,2.09
12/26/2006,74684,131076,205760,1.76
12/27/2006,166246,166455,332701,1
12/28/2006,221599,218126,439725,0.98
12/29/2006,145861,224889,370750,1.54
1/3/2007,205724,309416,515140,1.5
1/4/2007,270783,293745,564528,1.08
1/5/2007,290570,352167,642737,1.21
1/8/2007,232352,273485,505837,1.18
1/9/2007,237668,276434,514102,1.16
1/10/2007,222172,300204,522376,1.35
1/11/2007,290609,374464,665073,1.29
1/12/2007,322606,345792,668398,1.07
1/16/2007,363935,446782,810717,1.23
1/17/2007,306362,489441,795803,1.6
1/18/2007,393677,536049,929726,1.36
1/19/2007,329331,590644,919975,1.79
1/22/2007,430140,624065,1054205,1.45
1/23/2007,279965,425930,705895,1.52
1/24/2007,247491,434697,682188,1.76
1/25/2007,253423,614274,867697,2.42
1/26/2007,297561,426786,724347,1.43
1/29/2007,148155,354883,503038,2.4
1/30/2007,141025,303469,444494,2.15
1/31/2007,218874,346706,565580,1.58
2/1/2007,269289,347515,616804,1.29
2/2/2007,227401,293788,521189,1.29
2/5/2007,94058,205217,299275,2.18
2/6/2007,142722,267353,410075,1.87
2/7/2007,209059,244174,453233,1.17
2/8/2007,224539,316515,541054,1.41
2/9/2007,381115,436715,817830,1.15
2/12/2007,244481,425298,669779,1.74
2/13/2007,344397,396705,741102,1.15
2/14/2007,523595,570192,1093787,1.09
2/15/2007,509557,523428,1032985,1.03
2/16/2007,321329,586868,908197,1.83
2/20/2007,400236,619782,1020018,1.55
2/21/2007,276474,512423,788897,1.85
2/22/2007,213697,480673,694370,2.25
2/23/2007,179225,463363,642588,2.59
2/26/2007,153521,299395,452916,1.95
2/27/2007,603032,997380,1600412,1.65
2/28/2007,502539,738416,1240955,1.47
3/1/2007,468947,1012737,1481684,2.16
3/2/2007,462177,725001,1187178,1.57
3/5/2007,545650,1144730,1690380,2.1
3/6/2007,495959,784999,1280958,1.58
3/7/2007,430575,740914,1171489,1.72
3/8/2007,585785,490822,1076607,0.84
