Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
11/1/2006,1401036,1271445,2672481,0.91
11/2/2006,1348240,1218592,2566832,0.9
11/3/2006,1317371,1197794,2515165,0.91
11/6/2006,1260832,960752,2221584,0.76
11/7/2006,1463685,1158790,2622475,0.79
11/8/2006,1587664,1232542,2820206,0.78
11/9/2006,1539157,1288147,2827304,0.84
11/10/2006,905032,956168,1861200,1.06
11/13/2006,1494150,1189949,2684099,0.8
11/14/2006,1846023,1520119,3366142,0.82
11/15/2006,2208209,1824591,4032800,0.83
11/16/2006,2214135,1730471,3944606,0.78
11/17/2006,2348986,1839045,4188031,0.78
11/20/2006,1651762,1421412,3073174,0.86
11/21/2006,1472749,1522583,2995332,1.03
11/22/2006,1228962,1090750,2319712,0.89
11/24/2006,561132,593574,1154706,1.06
11/27/2006,1571914,2003376,3575290,1.27
11/28/2006,1354590,1263784,2618374,0.93
11/29/2006,1857385,1250537,3107922,0.67
11/30/2006,1500118,1159950,2660068,0.77
12/1/2006,1499093,1366324,2865417,0.91
12/4/2006,1478450,1277799,2756249,0.86
12/5/2006,1485668,1129441,2615109,0.76
12/6/2006,1473185,1240695,2713880,0.84
12/7/2006,1542127,1375974,2918101,0.89
12/8/2006,1353050,1062727,2415777,0.79
12/11/2006,1450643,1047608,2498251,0.72
12/12/2006,1596455,1533346,3129801,0.96
12/13/2006,1631636,1426591,3058227,0.87
12/14/2006,2444953,1490941,3935894,0.61
12/15/2006,2271000,1669244,3940244,0.74
12/18/2006,1652162,1807227,3459389,1.09
12/19/2006,1536358,1477289,3013647,0.96
12/20/2006,1157975,982895,2140870,0.85
12/21/2006,1581942,1250630,2832572,0.79
12/22/2006,848222,937418,1785640,1.11
12/26/2006,761271,638977,1400248,0.84
12/27/2006,914755,777062,1691817,0.85
12/28/2006,931280,893310,1824590,0.96
12/29/2006,1050707,923895,1974602,0.88
1/3/2007,1660954,1444024,3104978,0.87
1/4/2007,1604704,1315635,2920339,0.82
1/5/2007,1579147,1417792,2996939,0.9
1/8/2007,1363540,1170294,2533834,0.86
1/9/2007,1648779,1301831,2950610,0.79
1/10/2007,1789372,1447992,3237364,0.81
1/11/2007,1999245,1429825,3429070,0.72
1/12/2007,1686235,1267849,2954084,0.75
1/16/2007,1828540,1623049,3451589,0.89
1/17/2007,1673854,1471531,3145385,0.88
1/18/2007,2004905,1807672,3812577,0.9
1/19/2007,2202162,1851869,4054031,0.84
1/22/2007,1678419,1623684,3302103,0.97
1/23/2007,1654066,1502618,3156684,0.91
1/24/2007,1537920,1306562,2844482,0.85
1/25/2007,1479982,1775020,3255002,1.2
1/26/2007,1327287,1305700,2632987,0.98
1/29/2007,1246829,1221091,2467920,0.98
1/30/2007,1188187,1111370,2299557,0.94
1/31/2007,1552672,1216853,2769525,0.78
2/1/2007,1450209,1218451,2668660,0.84
2/2/2007,1187680,1160948,2348628,0.98
2/5/2007,1132440,929741,2062181,0.82
2/6/2007,1303169,1110139,2413308,0.85
2/7/2007,1289276,1124059,2413335,0.87
2/8/2007,1436418,1226322,2662740,0.85
