127.0.0.1, 2016-04-04 21:28:13, GET, /, HTTP/1.1, 303, 0.012000
127.0.0.1, 2016-04-04 21:28:14, GET, /welcome/default/index, HTTP/1.1, 200, 1.338000
127.0.0.1, 2016-04-04 21:37:47, GET, /admin/default/site, HTTP/1.1, 303, 0.168000
127.0.0.1, 2016-04-04 21:37:47, GET, /admin/default/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2016-04-04 21:37:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:37:50, POST, /admin/default/index, HTTP/1.1, 303, 0.099000
127.0.0.1, 2016-04-04 21:37:50, GET, /admin/default/site, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-04-04 21:37:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.355000
127.0.0.1, 2016-04-04 21:37:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:38:00, POST, /admin/default/site, HTTP/1.1, 303, 1.988000
127.0.0.1, 2016-04-04 21:38:01, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.284000
127.0.0.1, 2016-04-04 21:38:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:38:04, GET, /admin/default/edit/pitch/models/db.py, HTTP/1.1, 200, 0.079000
127.0.0.1, 2016-04-04 21:38:04, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-04-04 21:38:04, GET, /admin/default/edit/pitch/models/db.py, HTTP/1.1, 200, 0.138000
127.0.0.1, 2016-04-04 21:38:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.151000
127.0.0.1, 2016-04-04 21:38:04, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.276000
127.0.0.1, 2016-04-04 21:38:04, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.344000
127.0.0.1, 2016-04-04 21:38:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.282000
127.0.0.1, 2016-04-04 21:38:06, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 1.566000
127.0.0.1, 2016-04-04 21:38:16, POST, /admin/default/edit/pitch/models/db.py, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-04-04 21:38:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:39:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-04-04 21:39:04, GET, /pitch/default/user/register, HTTP/1.1, 200, 1.169000
127.0.0.1, 2016-04-04 21:39:04, GET, /pitch/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-04 21:39:04, GET, /pitch/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-04-04 21:39:04, GET, /pitch/static/css/calendar.css, HTTP/1.1, 200, 0.002000
